x,y,z,Time,x-velocity,y-velocity,z-velocity,Color
0.1034488454,0.07536849185769,0.11353859915546,0.0,-0.0112560457127541,4.0977084044401945e-14,1.123249319334718e-11,0.0112560457127541
0.103392626400138,0.0753684929000708,0.1135388005003483,0.005,-0.0112346156671183,3.648332804404519e-07,7.047070250125391e-05,0.0112324773250458
0.1033365239285538,0.0753684959674007,0.113539392981694,0.01,-0.0112099033041419,7.999405042374185e-07,0.0001545154441125671,0.0112100698740739
0.1032805369205911,0.0753685010951531,0.1135403834514753,0.015,-0.011188025308841,1.1947579385435134e-06,0.000230777840381566,0.0111888323348047
0.1032246612099055,0.0753685082571107,0.1135417668456132,0.02,-0.0111654797583162,1.610616701481512e-06,0.0003111045679781889,0.0111687554561075
0.1031688944084929,0.0753685174610552,0.1135435446672349,0.025,-0.0111442706756623,2.0134180548805896e-06,0.00038890914160555855,0.0111498398261815
0.1031132330916974,0.0753685286953312,0.1135457146649838,0.03,-0.0111232578716752,2.421933066141373e-06,0.0004678173559263907,0.0111320801932429
0.103057674524065,0.0753685419606558,0.1135482769773951,0.035,-0.0111030552675832,2.826413834500704e-06,0.0005459463270062597,0.0111154747974687
0.1030020583705276,0.0753685558115972,0.1135514698734513,0.04,-0.0111383622874171,2.728019111291425e-06,0.00070805387443682,0.0111493220673388
0.1029465589580998,0.0753683754848469,0.113555194743879,0.045,-0.0110710226341688,-6.51603769480799e-05,0.0007726642438482494,0.0111267010074918
0.1028910606577193,0.075368163039324,0.1135594019080303,0.05,-0.0111211381575373,-2.5485650290267097e-05,0.0008930092701028875,0.0111665399551258
0.1028353790974374,0.0753682786956009,0.1135638864638727,0.055,-0.0111476924805243,5.959393462680163e-05,0.0008998375922611091,0.0111803898142322
0.1027796553500535,0.0753684268367205,0.1135688318364155,0.06,-0.01114254222398,7.153940875800702e-06,0.0010560021957702,0.0111960203951744
0.1027239028835489,0.0753685309750491,0.1135743215344136,0.065,-0.0111564566085967,3.108295937904092e-05,0.001129392652534,0.0112135854526404
0.1026681068775168,0.0753686334360051,0.1135803101344601,0.07,-0.0111612596548076,1.2549115040949822e-05,0.0012489655268591,0.0112329974638922
0.1026122682043189,0.0753687105331046,0.1135868239063447,0.075,-0.0111725908781678,1.7572148557989566e-05,0.0013430960144422,0.0112543022233467
0.102556379018486,0.0753687752522347,0.1135938493613086,0.08,-0.0111817718828904,9.472584113073463e-06,0.001451587226563,0.0112774711961359
0.1025004363043097,0.0753688202027517,0.1136013951640608,0.085,-0.0111936210495213,8.628242876706825e-06,0.0015523405433543,0.0113025166299689
0.102444434356432,0.0753688493123656,0.1136094577426201,0.09,-0.0112054659700775,3.717182707753287e-06,0.0016576470882452,0.0113294277731014
0.1023883689515899,0.075368860218212,0.1136180403909664,0.095,-0.0112187922171584,1.0291591867786367e-06,0.0017606916050026,0.0113582062374235
0.1023322350328091,0.0753688540499909,0.1136271426566092,0.1,-0.0112327774104112,-2.9307467503237645e-06,0.0018652742712425,0.0113888464169746
0.1022760279952615,0.0753688299946359,0.1136367662378342,0.105,-0.0112478800838466,-6.221314194497925e-06,0.0019692977253328,0.0114213463604036
0.1022197429716092,0.0753687883160437,0.1136469117078887,0.11,-0.011263848215419,-9.921521609670845e-06,0.0020739412250807,0.0114557017660317
0.1021633752271603,0.0753687286773394,0.1136575803348818,0.115,-0.0112808243955525,-1.3432405307993222e-05,0.0021785635287392,0.0114919093294982
0.1021069199397015,0.0753686510730324,0.113668773068643,0.12,-0.0112987323139067,-1.7087203480027886e-05,0.0022835341698983,0.0115299649059
0.1020503723220066,0.0753685553111068,0.1136804911048846,0.125,-0.0113176169577913,-2.0701271345332438e-05,0.0023886620571302,0.0115698645515672
0.1019937275526403,0.0753684413006134,0.1136927355756069,0.13,-0.0113374565598939,-2.437771917096859e-05,0.0024940682099663,0.0116116039759092
0.1019369808158768,0.0753683088920807,0.1137055077160342,0.135,-0.0113582654472921,-2.8059697057475485e-05,0.0025996979920785,0.0116551788574098
0.1018801272767514,0.0753681579661323,0.1137188087714945,0.14,-0.0113800396084113,-3.1779309159237824e-05,0.0027055959170319,0.0117005846914608
0.1018230003973587,0.0753679847601595,0.1137326860924919,0.145,-0.0114593780811377,-3.678760860537528e-05,0.0028278654113184,0.0117854546722422
0.1017657573689506,0.0753678112236453,0.1137472309387956,0.15,-0.0114405263819877,-3.314707353584278e-05,0.0029697971478122,0.0118350717933919
0.1017084458407134,0.0753676419461366,0.1137624553521502,0.155,-0.0114786400965115,-3.438682287414459e-05,0.0031011968132753,0.0118876103233277
0.1016510272386065,0.0753674740009824,0.1137783546105517,0.16,-0.0114875306650543,-3.299068682541158e-05,0.0032388428305699,0.0119430485469739
0.1015935108769466,0.0753673086379526,0.1137949334327064,0.165,-0.0115150785821575,-3.313404531016704e-05,0.003373455631214,0.0120013711838444
0.1015358794612515,0.075367144787576,0.1138121914439501,0.17,-0.0115346865566665,-3.2497097820890464e-05,0.0035102122118896,0.0120625599417103
0.1014781304688649,0.0753669826696404,0.1138301312370694,0.175,-0.0115611324177979,-3.236845408957191e-05,0.0036462684328535,0.0121088168882532
0.1014203093848865,0.0753669377161502,0.1138486624208323,0.18,-0.0115665300790904,8.542619024219051e-06,0.0037512129923751,0.0121746041514366
0.1013622440769481,0.0753669225551736,0.113867856765689,0.185,-0.011647960219113,-1.1713306069183564e-05,0.0039046109555611,0.0123013607159043
0.1013036807123875,0.0753669019978827,0.1138878089004261,0.19,-0.0117612074318614,1.58992770632218e-06,0.0040547889413267,0.0124477510698775
